"Address","Content Type","Status Code","Status","Crawl Depth","Inlinks"
"https://www.facebook.com/sharer.php?u=https://sanatkaravani.com/zebercet-ya-da-modern-dekadansin-oykusu/","","0","Blocked by robots.txt","2","14"
"https://www.facebook.com/sharer.php?u=https://sanatkaravani.com/yalnizlik-varolussaldir-peyami-safa/","","0","Blocked by robots.txt","2","13"
"https://twitter.com/intent/tweet?text=Yalnızlık%20Varoluşsaldır%20/%20Peyami%20Safa&via=sanatkaravani&url=https://sanatkaravani.com/yalnizlik-varolussaldir-peyami-safa/","text/html; charset=UTF-8","403","Forbidden","2","13"
"https://wa.me/?text=Gönül%20Ehli%20Bir%20Grunger%20Derviş%20–%20Eddie%20Vedder%20https://sanatkaravani.com/gonul-ehli-bir-grunger-dervis-eddie-vedder/","text/html; charset=utf-8","400","Bad Request","2","10"
"https://cdn.plyr.io/3.6.2/plyr.polyfilled.js?ver=1.6.9","application/javascript; charset=utf-8","200","OK","2","0"
"https://wa.me/?text=Mutlu%20Aşk%20Yoktur%20/%20Louis%20Aragon%20https://sanatkaravani.com/mutlu-ask-yoktur-louis-aragon/","text/html; charset=utf-8","400","Bad Request","2","7"
"https://wa.me/?text=Geniş%20Geniş%20Bir%20Deniz%20/%20Jean%20Rhys%20https://sanatkaravani.com/genis-genis-bir-deniz-jean-rhys/","text/html; charset=utf-8","400","Bad Request","2","6"
"https://www.facebook.com/sharer.php?u=https://sanatkaravani.com/italyan-yeni-gercekciliginde-bir-fotografci-mario-de-biasi/","","0","Blocked by robots.txt","2","13"
"https://wa.me/?text=Mimar%20Sinan%20ve%20Günümüz%20İstanbul%20Silüeti%20https://sanatkaravani.com/mimar-sinan-ve-gunumuz-istanbul-silueti/","text/html; charset=utf-8","400","Bad Request","2","6"
"https://www.facebook.com/sharer.php?u=https://sanatkaravani.com/gonul-ehli-bir-grunger-dervis-eddie-vedder/","","0","Blocked by robots.txt","2","14"
"https://www.facebook.com/sharer.php?u=https://sanatkaravani.com/yasama-istegi-uzerine-matt-haig/","","0","Blocked by robots.txt","2","11"
"https://www.facebook.com/sharer.php?u=https://sanatkaravani.com/bir-dansa-davet-manifestosu-korkutuk/","","0","Blocked by robots.txt","2","12"
"https://twitter.com/intent/tweet?text=İtalyan%20Yeni%20Gerçekçiliğinde%20Bir%20Fotoğrafçı%20/%20Mario%20De%20Biasi&via=sanatkaravani&url=https://sanatkaravani.com/italyan-yeni-gercekciliginde-bir-fotografci-mario-de-biasi/","text/html; charset=UTF-8","403","Forbidden","2","13"
"https://www.facebook.com/sharer.php?u=https://sanatkaravani.com/degisen-endustriyel-dunyayi-kadrajina-alan-fotografci-emil-otto-hoppe/","","0","Blocked by robots.txt","2","11"
"https://twitter.com/intent/tweet?text=2021%20Siena%20Uluslararası%20Fotoğraf%20Yarışması%20Kazananları!&via=sanatkaravani&url=https://sanatkaravani.com/2021-siena-uluslararasi-fotograf-yarismasi-kazananlari/","text/html; charset=UTF-8","403","Forbidden","2","10"
"https://wa.me/?text=Yeni%20Yollar%20Keşfedeceğiniz%2030%20Alternatif/Bağımsız%20Şarkı!%20https://sanatkaravani.com/alternatif-bagimsiz-sarki-listesi/","text/html; charset=utf-8","400","Bad Request","2","10"
"https://wa.me/?text=Büyülü%20Gerçekliğin%20Peşinde%20Bir%20Yazar%20/%20Mo%20Yan%20https://sanatkaravani.com/buyulu-gercekligin-pesinde-bir-yazar-mo-yan/","text/html; charset=utf-8","400","Bad Request","2","8"
"https://www.facebook.com/sharer.php?u=https://sanatkaravani.com/mimar-sinan-ve-gunumuz-istanbul-silueti/","","0","Blocked by robots.txt","2","10"
"https://twitter.com/intent/tweet?text=Progresif%20Rock’ın%20Dahileri:%20Dream%20Theather&via=sanatkaravani&url=https://sanatkaravani.com/progresif-rockin-dahileri-dream-theather/","text/html; charset=UTF-8","403","Forbidden","2","11"
"https://www.facebook.com/sharer.php?u=https://sanatkaravani.com/2021-siena-uluslararasi-fotograf-yarismasi-kazananlari/","","0","Blocked by robots.txt","2","10"
"https://www.facebook.com/sharer.php?u=https://sanatkaravani.com/fotografin-etnologu-ferdinando-scianna/","","0","Blocked by robots.txt","2","11"
"https://wa.me/?text=Hümanist%20Fotoğrafçılığın%20“Yaratıcı%20Kadını”%20Sabine%20Weiss%20https://sanatkaravani.com/humanist-fotografciligin-yaratici-kadini-sabine-weiss/","text/html; charset=utf-8","400","Bad Request","2","10"
"https://www.facebook.com/sharer.php?u=https://sanatkaravani.com/humanist-fotografciligin-yaratici-kadini-sabine-weiss/","","0","Blocked by robots.txt","2","14"
"https://wa.me/?text=70’ler,%2080’ler%20ve%2090’ların%20Popüler%20Yabancı%20Şarkıları!%20https://sanatkaravani.com/70ler-80ler-ve-90larin-populer-yabanci-sarkilari/","text/html; charset=utf-8","400","Bad Request","2","11"
"https://www.facebook.com/sharer.php?u=https://sanatkaravani.com/progresif-rockin-dahileri-dream-theather/","","0","Blocked by robots.txt","2","11"
"https://twitter.com/intent/tweet?text=Büyülü%20Gerçekliğin%20Peşinde%20Bir%20Yazar%20/%20Mo%20Yan&via=sanatkaravani&url=https://sanatkaravani.com/buyulu-gercekligin-pesinde-bir-yazar-mo-yan/","text/html; charset=UTF-8","403","Forbidden","2","12"
"https://twitter.com/intent/tweet?text=Fotoğrafın%20Etnoloğu%20/%20Ferdinando%20Scianna&via=sanatkaravani&url=https://sanatkaravani.com/fotografin-etnologu-ferdinando-scianna/","text/html; charset=UTF-8","403","Forbidden","2","11"
"https://twitter.com/sanatkaravani","text/html; charset=UTF-8","403","Forbidden","2","3064"
"https://www.facebook.com/sharer.php?u=https://sanatkaravani.com/alternatif-bagimsiz-sarki-listesi/","","0","Blocked by robots.txt","2","13"
"https://wa.me/?text=Fotoğrafın%20Etnoloğu%20/%20Ferdinando%20Scianna%20https://sanatkaravani.com/fotografin-etnologu-ferdinando-scianna/","text/html; charset=utf-8","400","Bad Request","2","7"
"https://twitter.com/intent/tweet?text=Zebercet%20ya%20da%20Modern%20Dekadansın%20Öyküsü&via=sanatkaravani&url=https://sanatkaravani.com/zebercet-ya-da-modern-dekadansin-oykusu/","text/html; charset=UTF-8","403","Forbidden","2","14"
"https://www.facebook.com/sharer.php?u=https://sanatkaravani.com/mutlu-ask-yoktur-louis-aragon/","","0","Blocked by robots.txt","2","11"
